Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;Gmina;Powiat;Województwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeśli nie występuje w komórkach C1-G1);Miejscość (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Założyciela;Nazwa Organizatora I/ Założyciela;Nazwa Organizatora II/ Założyciela;Nazwa Organizatora III/ Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum;Data wykreślenia z rejestru;zakończenie procesu organizacji
275;Muzeum Zamek Opalińskich w Sierakowie;64-410;Sieraków;Chrzypsko Wielkie;międzychodzki;WIELKOPOLSKIE;ul.;Stadnina;3a;;;;;;;;Powiat Międzychodzki;;;;;Samorządowe;;
276;Muzeum - Zamek w Oporowie;99-322;Oporów;Oporów;kutnowski;ŁÓDZKIE;;Oporów;34;;;;;;;;Powiat Kutnowski;;;;2007-02-22;Samorządowe;;
277;Muzeum Zamek w Oświęcimiu ;32-600;Oświęcim;Oświęcim;oświęcimski;MAŁOPOLSKIE;ul.;Zamkowa;1;;;;;;;;Gmina Miasto Oświęcim;;;;;Samorządowe;;
278;Muzeum Zamkowe w Pszczynie;43-200;Pszczyna;Góra;pszczyński;ŚLĄSKIE;ul.;Brama Wybrańców;1;;;;;;;;Województwo Śląskie;;;;1998-07-06;Samorządowe;;
279;Muzeum Zamek Szymbark w Warszawie (w organizacji);14-200;Szymbark;Iława;iławski;WARMIŃSKO-MAZURSKIE;;Szymbark;10A;;;;;;;;Fundacja Zamek Szymbark;;;;;;;
280;Muzeum Zamojskie w Zamościu;22-400;Zamość;Zamość;m. Zamość;LUBELSKIE;ul.;Ormiańska;30;;;;;;;;Miasto Zamość;;;;2012-06-26;Samorządowe;;
281;Muzeum Zamoyskich w Kozłówce;21-132;Kamionka;Kamionka;lubartowski;LUBELSKIE;ul.;Kozłówka;3;;;;;;;;Województwo Lubelskie;;;;1998-05-18;Samorządowe;;
282;Muzeum Zbrojownia na Zamku w Liwie;07-100;Liw (poczta Węgrów);Starawieś;węgrowski;MAZOWIECKIE;ul.;Stefana Batorego;2;;;;;;;;Samorząd Województwa Mazowieckiego;;;;;Samorządowe;;
283;Muzeum Ziemi Bieckiej;38-340;Biecz;Biecz;gorlicki;MAŁOPOLSKIE;ul.;Węgierska;1;;;;;;;;Gmina Biecz;;;;;Samorządowe;;
284;Muzeum Ziemi Biłgorajskiej w Biłgoraju;23-400;Biłgoraj;Biłgoraj;biłgorajski;LUBELSKIE;ul.;Kościuszki;87;;;;;;;;Powiat Biłgorajski;;;;;Samorządowe;;
285;Muzeum Ziemi Błońskiej (w organizacji);05-870;Blonie;Błonie;warszawski zachodni;MAZOWIECKIE;ul.;Norwida;1;;;;;;;;Gmina Błonie;;;;;Samorządowe;;
286;Muzeum Ziemi Chełmskiej im. Wiktora Ambroziewicza w Chełmie;22-100;Chełm;Chełm;m. Chełm;LUBELSKIE;ul.;Lubelska;55;;;;;;;;Miasto Chełm;;;;1998-12-28;Samorządowe;;
287;Muzeum Ziemi Dobrzyńskiej w Rypinie ;87-500;Rypin;Brzuze;rypiński;KUJAWSKO-POMORSKIE;ul.;Wrocławska;20;;;;;;;;Miasto Rypin ;;;;;Samorządowe;;
288;Muzeum Ziemi Kępińskiej im. Tadeusza Piotra Potworowskiego w Kępnie ;63-600;Kępno;Kępno;kępiński;WIELKOPOLSKIE;ul.;Kwiatowa;13;;;;;;;;Gmina Kępno;;;;;Samorządowe;;
289;Muzeum Ziemi Kłodzkiej w Kłodzku;57-300;Kłodzko;Kłodzko;kłodzki;DOLNOŚLĄSKIE;ul.;Łukasiewicza;4;;;;;;;;Gmina Miasto Kłodzko;;;;2001-12-14;Samorządowe;;
290;Muzeum Ziemi Koszyckiej im. Stanisława Boducha w Koszycach;32 -130;Koszyce;Koszyce;proszowicki;MAŁOPOLSKIE;ul.;Wspólna;11;;;;;;;;Gmina Koszyce;;;;;Samorządowe;;
291;Muzeum Ziemi Kościerskiej im. dra Jerzego Knyby w Kościerzynie;83-400;Kościerzyna;Kościerzyna;kościerski;POMORSKIE;ul.;Rynek;9;;;;;;;;Gmina Miejska Kościerzyna;;;;;Samorządowe;;
292;Muzeum Ziemi Kozielskiej w Kędzierzynie Koźlu (w organizacji);47-200;Kędzierzyn-Koźle;Kędzierzyn-Koźle (Kłodnica);kędzierzyńsko-kozielski;OPOLSKIE;ul.;Józefa Ignacego Kraszewskiego;5b;;;;;;;;Gmina Kędzierzyn-Koźle;;;;;Samorządowe;;
293;Muzeum Ziemi Krajeńskiej w Nakle nad Notecią;89-100;Nakło nad Notecią;Paterek;nakielski;KUJAWSKO-POMORSKIE;ul.;Pocztowa;14;;;;;;;;Gmina Nakło nad Notecią;;;;;Samorządowe;;
294;Muzeum Ziemi Kujawskiej i Dobrzyńskiej we Włocławku;87-800;Włocławek;Włocławek;m. Włocławek;KUJAWSKO-POMORSKIE;ul.;Słowackiego;1a;;;;;;;;Województwo Kujawsko-Pomorskie;;;;1998-07-06;Samorządowe;;
295;Muzeum Ziemi Leżajskiej;37-300;Leżajsk;Leżajsk;leżajski;PODKARPACKIE;ul.;Mickiewicza;20A;;;;;;;;Powiat Leżajski;;;;;Samorządowe;;
296;Muzeum Ziemi Lubartowskiej w Lubartowie (w organizacji);21-100;Lubartów;Lubartów;lubartowski;LUBELSKIE;ul.;Kościuszki;28;;;;;;;;Miasto Lubartów ;;;;;Samorządowe;;
297;Muzeum Ziemi Lubuskiej w Zielonej Górze;65-048;Zielona Góra;Zielona Góra;m. Zielona Góra;LUBUSKIE;al.;Niepodległości;15;;;;;;;;Województwo Lubuskie;;;;1998-05-18;Samorządowe;;
298;Muzeum Ziemi Miechowskiej w Miechowie (w organizacji) ;32-200;Miechów;Wysocice;miechowski;MAŁOPOLSKIE;ul.;Warszawska;1;;;;;;;;Gmina Miechów; Powiat Miechowski; parafia Rzymsko-Katolicka przy Bazylice Grobu Bożego w Miechowie ;;;Samorządowe;;
299;Muzeum Ziemi Mińskiej w Mińsku Mazowieckim ;05-300;Mińsk Mazowiecki;Mińsk Mazowiecki;miński;MAZOWIECKIE;ul.;S. Okrzei;16;;;;;;;;Miasto Mińsk Mazowiecki;;;;;Samorządowe;;
300;Muzeum Ziemi Mogileńskiej w Mogilnie z siedzibą w Chabsku;88-342;Chabsko (poczta Wylatowo);Łosośniki;mogileński;KUJAWSKO-POMORSKIE;ul.;Chabsko;20;;;;;;;;Gmina Mogilno;;;;;Samorządowe;;
301;Muzeum Ziemi Nadnoteckiej im. Wiktora Stachowiaka w Trzciance;64-980;Trzcianka;Trzcianka;czarnkowsko-trzcianecki;WIELKOPOLSKIE;ul.;Żeromskiego;36a;;;;;;;;Gmina Trzcianka;;;;;Samorządowe;;
302;Muzeum Ziemi Pałuckiej w Żninie;88-400;Żnin;Biskupin;żniński;KUJAWSKO-POMORSKIE;Plac;Plac Wolności;1;;;;;;;;Gmina Żnin;;;;;Samorządowe;;
303;Muzeum Ziemi Piskiej w Piszu;12-200;Pisz;Pisz;piski;WARMIŃSKO-MAZURSKIE;Plac;Ignacego Daszyńskiego;7;;;;;;;;Gmina Pisz;;;;;Samorządowe;;
304;Muzeum Ziemi Prudnickiej w Prudniku;48-200;Prudnik;Łącznik;prudnicki;OPOLSKIE;ul.;Chrobrego;5 ;;;;;;;;Gmina Prudnik;;;;;Samorządowe;;
305;Muzeum Ziemi Puckiej im. Floriana Ceynowy w Pucku;84-100;Puck;Swarzewo;pucki;POMORSKIE;ul.;Wolności;28;;;;;;;;Powiat Pucki;;;;2006-07-07;Samorządowe;;
306;Muzeum Ziemi Rawickiej w Rawiczu;63 -900;Rawicz;Rawicz;rawicki;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Gmina Rawicz;;;;;Samorządowe;;
307;Muzeum Ziemi Rawskiej w Rawie Mazowieckiej;96-200;Rawa Mazowiecka;Rawa Mazowiecka;rawski;ŁÓDZKIE;ul.;Łowicka;26;;;;;;;;Miasto Rawa Mazowiecka;;;;;Samorządowe;;
308;Muzeum Ziemi Sadowieńskiej w Sadownem;07-140;Sadowne;Sadowne;węgrowski;MAZOWIECKIE;ul.;Kościuszki;74;;;;;;;;Gmina Sadowne ;;;;;Samorządowe;;
309;Muzeum Ziemi Szubińskiej im. Zenona Erdmanna w Szubinie;89-200;Szubin;Szubin;nakielski;KUJAWSKO-POMORSKIE;ul.;Szkolna;2;;;;;;;;Gmina Szubin;;;;;Samorządowe;;
310;Muzeum Ziemi Średzkiej - „Dwór w Koszutach”;63-000;Środa Wielkopolska;Dominowo;średzki;WIELKOPOLSKIE;ul.;Koszuty;27;;;;;;;;Gmina Środa Wielkopolska;;;;;Samorządowe;;
311;Muzeum Ziemi Wałeckiej w Wałczu;78-600;Wałcz;Mirosławiec;wałecki;ZACHODNIOPOMORSKIE;ul.;Pocztowa;14;;;;;;;;Gmina Miejska Wałcz;;;;;Samorządowe;;
312;Muzeum Ziemi Wieluńskiej w Wieluniu;98-300;Wieluń;Wieluń;wieluński;ŁÓDZKIE;ul.;Narutowicza;13;;;;;;;;Gmina Wieluń;;;;2003-12-18;Samorządowe;;
313;Muzeum Ziemi Wiśnickiej w Nowym Wiśniczu;32-720;Nowy Wiśnicz;Nowy Wiśnicz;bocheński;MAŁOPOLSKIE;ul.;Zamkowa;13;;;;;;;;Gmina Nowy Wiśnicz;;;;;Samorządowe;;
314;Muzeum Ziemi Wschowskiej ;67-400;Wschowa;Wschowa;wschowski;LUBUSKIE;pl.;Zamkowy;2;;;;;;;;Gmina Wschowa;;;;;Samorządowe;;
315;Muzeum Ziemi Zawkrzeńskiej w Mławie;06-500;Mława;Mława;mławski;MAZOWIECKIE;ul.;3 Maja ;5;;;;;;;;Miasto Mława;;;;;Samorządowe;;
316;Muzeum Ziemi Złotowskiej w Złotowie;77-400;Złotów;Stara Wiśniewka;złotowski;WIELKOPOLSKIE;ul.;Wojska Polskiego;2a;;;;;;;;Gmina Miasto Złotów ;;;;;Samorządowe;;
317;Muzeum Ziemiaństwa w Dobrzycy - Zespół Pałacowo-Parkowy;63-330;Dobrzyca;Dobrzyca;pleszewski;WIELKOPOLSKIE;ul.;Pleszewska;5a;;;;;;;;Województwo Wielkopolskie;;;;;Samorządowe;;
318;Oleskie Muzeum Regionalne w Oleśnie;46-300;Olesno;Sowczyce;oleski;OPOLSKIE;ul.;Jaronia;7;;;;;;;;Gmina Olesno;;;;;Samorządowe;;
319;Pałac Schoena Muzeum w Sosnowcu ;41-205;Sosnowiec;Sosnowiec;m. Sosnowiec;ŚLĄSKIE;ul.;Chemiczna;12;;;;;;;;Gmina Sosnowiec;;;;;Samorządowe;;
320;Państwowe Muzeum Archeologiczne w Warszawie;00-241;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Długa;52;;;;;;;;Województwo Mazowieckie;;;;1998-05-18;Samorządowe;;
321;Państwowe Muzeum Etnograficzne w Warszawie;00-056;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Kredytowa;1;;;;;;;;Województwo Mazowieckie;;;;1998-07-06;Samorządowe;;
322;Podlaskie Muzeum Kultury Ludowej ;16-010;Wasilków ;Jurowce;białostocki;PODLASKIE;ul. ;Leśna ;7;;;;;;;;Województwo Podlaskie;;;;;Samorządowe;;
323;Powiatowe Muzeum Ziemi Głubczyckiej w Głubczycach;48-100;Głubczyce;Głubczyce;głubczycki;OPOLSKIE;ul.;Rynek;1;;;;;;;;Powiat Głubczycki;;;;;Samorządowe;;
324;Skansen w Sidzinie-Muzeum Kultury Ludowej;34-236;Sidzina;Sidzina;suski;MAŁOPOLSKIE;ul.;Binkówka;;;;;;;;;Gmina Bystra – Sidzina;;;;;Samorządowe;;
325;Wielkopolskie Muzeum Walk Niepodległościowych;61-772;Poznań;Poznań (Poznań-Stare Miasto);m. Poznań;WIELKOPOLSKIE;ul.;Stary Rynek;3;;;;;;;;Miasto Poznań ;;;;;Samorządowe;;
326;Żywiecki Park Etnograficzny Muzeum (w organizacji);34-323;Ślemień;Ślemień;żywiecki;ŚLĄSKIE;ul.;Łączna;2A;;;;;;;;Gmina Ślemień ;;;;;Samorządowe;;
327;Centralne Muzeum Jeńców Wojennych;45-017;Opole;Opole;m. Opole;OPOLSKIE;ul.;Minorytów;3;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Województwo Opolskie;;;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
328;Muzeum Dom Rodzinny Ojca Świętego Jana Pawła II w Wadowicach;34-100;Wadowice;Stronie;wadowicki;MAŁOPOLSKIE;ul.;Kościelna;7;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Archidiecezja Krakowska; Województwo Małopolskie; Gmina Wadowice;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
329;Muzeum - Dom Rodziny Pileckich w Ostrowi Mazowieckiej (w organizacji) ;07-300;Ostrów Mazowiecka;Ostrów Mazowiecka;ostrowski;MAZOWIECKIE;ul.;Warszawska;4;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Miasto Ostrów Mazowiecka;;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
330;Muzeum Gross – Rosen w Rogoźnicy. Niemiecki nazistowski obóz koncentracyjny i zagłady (1940 - 1945);58-304;Wałbrzych;Wałbrzych;Wałbrzych;DOLNOŚLĄSKIE;ul.;Szarych Szeregów ;9;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Województwo Dolnośląskie;;;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
331;Muzeum Historii Żydów Polskich Polin;00-157;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Anielewicza;6;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Miasto Stołeczne Warszawa; Stowarzyszenie Żydowski Instytut Historyczny w Polsce;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
332;Muzeum im. Kazimierza Pułaskiego w Warce ;05-660;Warka;Warka;grójecki;MAZOWIECKIE;ul.;K. Pułaskiego;24;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Powiat Grójecki;;;2018-12-28;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
333;Muzeum Jana Pawła II i Prymasa Wyszyńskiego;02-972;Warszawa;Warszawa (Wilanów);m. st. Warszawa;MAZOWIECKIE;ul.;Księdza Prymasa Augusta Hlonda;1;;;;;;;;Archidiecezja Warszawska; Minister Kultury, Dziedzictwa Narodowego i Sportu ;;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
334;Muzeum Józefa Piłsudskiego w Sulejówku;05-070;Sulejówek;Sulejówek;miński;MAZOWIECKIE;ul.;Oleandrów;5;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Fundacja Rodziny Józefa Piłsudskiego;;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
335;Muzeum Literatury im. Adama Mickiewicza w Warszawie;00-272;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Rynek Starego Miasta ;20;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Mazowieckie;;;2001-01-25;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
336;Muzeum Narodowe w Gdańsku;80-822;Gdańsk;Gdańsk;m. Gdańsk;POMORSKIE;ul.;Toruńska;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Pomorskie;;;2003-12-18;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
337;Muzeum Narodowe w Kielcach;25-010;Kielce;Kielce;m. Kielce;ŚWIĘTOKRZYSKIE;Plac ;Zamkowy ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Świętokrzyskie;;;2000-05-22;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
338;Muzeum Narodowe w Szczecinie;70-561;Szczecin;Szczecin;m. Szczecin;ZACHODNIOPOMORSKIE;ul.;Staromłyńska;27;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Zachodniopomorskie;;;2011-01-31;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
339;Muzeum Narodowe we Wrocławiu;50-153;Wrocław;Wrocław (Wrocław-Stare Miasto);m. Wrocław;DOLNOŚLĄSKIE;Pl. ;Powstańców Warszawy;5;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Dolnośląskie;;;2012-06-26;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
340;Muzeum Narodowe Ziemi Przemyskiej w Przemyślu;37-700;Przemyśl;Przemyśl;Przemyśl;PODKARPACKIE;pl.;Berka Joselewicza ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Samorząd Województwa Podkarpackiego;;;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
341;Muzeum Okręgowe w Sandomierzu;27-600;Sandomierz;Sandomierz;sandomierski;ŚWIĘTOKRZYSKIE;ul.;Zamkowa;12;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Gmina Sandomierz;Województwo Świętokrzyskie;Powiat Sandomierski;2020-01-01;Współprowadzone wpisane do rejestru prowdzonego przez jednostkę samorządu terytorialnego;;
342;Muzeum Pamięci Mieszkańców Ziemi Oświęcimskiej (w organizacji);32-600;Oświęcim;Oświęcim;oświęcimski;MAŁOPOLSKIE;ul. ;Wyspiańskiego;10;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Powiat Oświęcimski;;;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
343;Muzeum „PAMIĘĆ I TOŻSAMOŚĆ” św. Jana Pawła II (w organizacji);;Toruń;Toruń;Toruń;KUJAWSKO-POMORSKIE;;;;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Fundacja LUX VERITATIS;;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
344;Muzeum Piastów Śląskich w Brzegu;49-300;Brzeg;Brzeg;brzeski;OPOLSKIE;Plac ;Zamkowy ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Opolskie; Powiat Brzeski;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
345;Muzeum Podlaskie w Białymstoku;15-426;Białystok;Białystok;m. Białystok;PODLASKIE;ul.;Rynek Kościuszki;10;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Województwo Podlaskie;;;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
346;Muzeum Polaków Ratujących Żydów podczas II wojny światowej im. Rodziny Ulmów w Markowej ;37-120 ;Markowa ;Markowa ;łańcucki;PODKARPACKIE;;;1487;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Województwo Podkarpackie ;;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
347;Muzeum Sztuki Nowoczesnej w Warszawie;00-124;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Pańska;3;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Miasto Stołeczne Warszawa;;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
348;Muzeum Sztuki w Łodzi;90-734;Łódź;Łódź (Łódź-Polesie);m. Łódź;ŁÓDZKIE;ul.;Więckowskiego;36;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Łódzkie;;;1998-12-28;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
349;Muzeum Śląskie w Katowicach;40-205;Katowice;Katowice;m. Katowice;ŚLĄSKIE;ul.;T. Dobrowolskiego ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Śląskie;;;2006-07-07;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
350;Muzeum Tatrzańskie im. dra Tytusa Chałubińskiego w Zakopanem;34-500;Zakopane;Zakopane;tatrzański;MAŁOPOLSKIE;ul.;Krupówki;10;;;;;;;;Minister Kultury, Dziedzictwa Narodowego I Sportu;Województwo Małopolskie;;;2006-07-07;Wspólprowadzone wpisane do rejestru prowadzonego przez jedostkę samorządu terytorialnego;;
351;Muzeum Treblinka. Niemiecki nazistowski obóz zagłady i obóz pracy (1941-1944);08-330;Kosów Lacki;Kosów Lacki;sokołowski;MAZOWIECKIE;;Wólka Okrąglik;115;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Województwo Mazowieckie;;;2021-01-01;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
352;Muzeum-Zamek w Łańcucie;37-100;Łańcut;Łańcut;łańcucki;PODKARPACKIE;ul.;Zamkowa ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu; Województwo Podkarpackie;;;1998-12-28;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
353;Muzeum Ziemi Międzyrzeckiej im. Alfa Kowalskiego ;66-300;Międzyrzec;Międzyrzecz;międzyrzecki;LUBUSKIE;ul.;Podzamcze;2;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Powiat Międzyrzecki;;;1998-12-28;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
354;Muzeum Żołnierzy Wyklętych ;07-410;Ostrołęka;Ostrołęka;m. Ostrołęka;MAZOWIECKIE;ul.;Traugutta;19;;;;;;;;Minister Kultury, Dziedzictwa Narodowego I Sportu;;;;;Państwowe;;
355;Narodowe Muzeum Techniki w Warszawie (w organizacji);;Warszawa ;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;pl. ;Defilad;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Minister Nauki i Szkolnictwa Wyższego ;Miasto Stołeczne Warszawa ;;;Współprowadzone wpisane do rejestru prowadzonego przez Ministra Kultury, Dziedzictwa Narodowego i Sportu;;
356;Muzeum II Wojny Światowej w Gdańsku ;80-862;Gdańsk;Gdańsk;m. Gdańsk;POMORSKIE;Plac;Władysława Bartoszewskiego;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;2011-07-15;Państwowe;;
357;Muzeum Getta Warszawskiego;;;;;;;;;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;;Państwowe;;
358;Muzeum Historii Polski w Warszawie ;00-560;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Mokotowska (siedziba tymczasowa);33;35;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;;Państwowe;;
359;"Muzeum Łazienki Królewskie w Warszawie
";00-460;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Agrykoli;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;Państwowe;;
360;Muzeum Marynarki Wojennej w Gdyni;81-374;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;Zawiszy Czarnego;1b;;;;;;;;Minister Obrony Narodowej;;;;;Państwowe;;
361;Muzeum Narodowe w Krakowie;30-062;"Kraków 
";Kraków (Kraków-Krowodrza);m. Kraków;MAŁOPOLSKIE;ul.;3 Maja ;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-05-18;Państwowe;;
362;Muzeum Narodowe w Lublinie;20-117;Lublin;Lublin;Lublin;LUBELSKIE;ul.;Zamkowa;9;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-12-28;Państwowe;;
363;Muzeum Narodowe w Poznaniu;61-745;Poznań ;Poznań (Poznań-Stare Miasto);m. Poznań;WIELKOPOLSKIE;Aleja;Karola Marcinkowskiego;9;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;2004-08-30;Państwowe;;
364;Muzeum Narodowe w Warszawie;00-495;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;Aleje ;Jerozolimsie ;3;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;Państwowe;;
365;"Muzeum Pałacu Króla Jana III w Wilanowie
";02-958;Warszawa;Warszawa (Wilanów);m. st. Warszawa;MAZOWIECKIE;ul.;Stanisława Kostki Potockiego;10;16;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-12-28;Państwowe;;
366;Muzeum Sił Powietrznych w Dęblinie;08-521;"Dęblin 
";Dęblin (Lotnisko);rycki;LUBELSKIE;ul.;Dywizjonu 303;12;;;;;;;;Minister Obrony Narodowej;;;;;Państwowe;;
367;Muzeum Stutthof w Sztutowie. Niemiecki nazistowski obóz koncentracyjny i zagłady (1939-1945);82-110;Sztutowo;Kąty Rybackie;nowodworski;POMORSKIE;ul.;Muzealna ;6;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-12-28;Państwowe;;
368;Muzeum Sztuki i Techniki Japońskiej MANGGHA ;30-302;"Kraków 
";Kraków (Kraków-Podgórze);m. Kraków;MAŁOPOLSKIE;ul.;Marii Konpnickiej;26;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;2013-08-21;Państwowe;;
369;Muzeum Wojsk Lądowych w Bydgoszczy;85-641;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;Czerkaska;2;;;;;;;;Minister Obrony Narodowej;;;;;Państwowe;;
370;Muzeum Wojska Polskiego w Warszawie;00-495;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;Aleje ;Jerozolmskie;3;;;;;;;;Minister Obrony Narodowej;;;;1999-12-28;Państwowe;;
371;Muzeum Zamkowe w Malborku;82-200;"Malbork 
";Malbork;malborski;POMORSKIE;ul.;Starościńska;1;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-07-06;Państwowe;;
372;Muzeum Żup Krakowskich Wieliczka w Wieliczce ;32-020;Wieliczka;Trąbki;wielicki;MAŁOPOLSKIE;ul.;Zamkowa ;8;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1998-05-18;Państwowe;;
373;Narodowe Muzeum Morskie w Gdańsku;80-751;"Gdańsk 
";Gdańsk;m. Gdańsk;POMORSKIE;ul.;Ołowianka;9-;13;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;;;;1999-12-28;Państwowe;;
